Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,LASER PRINTER,0AN2B8GHAB038LN,2075,HP,M2830DW,
,LASER PRINTER,VNC3D07297,2073,Acer,LASERJET P1606DN,
,PASSBOOK PRINTER,QAL6MT016960,2072,Acer,SPEED 40 PLUS,
,BAR CODE SCANNER,NBKMLB000576,2071,Samsung,BS-C101 STAR,
,UPS,,NA,Acer,,
,BATTERY,,NA,HP,POWERSAFE PLUS,
MANNANAM,CPU,UXB1JSI11I043XXXXX,NA,Epson,VERITON IC6550,
,MONITOR,MMT3FSS00175000C5E3B00,2074,Epson,E1900HQ,
,Dotmatrix Printer,JNWY361744,2074,HP,LX 300+II,
,Barcode Scanner,NATMLB001064,2073,Acer,BS-C101 Star,
,CPU,UD305SI00U40804A280700,2073,Acer,VERITON M200-P500,
,MONITOR,UR14701017408F80CE9F00,2072,Epson,EV226HQL,
,CPU,,2071,Epson,,
,MONITOR,,2071,Smartline,,
,CPU,UXB1JSIO91I0328568,2070,Uniline,VERITON M200-H110,
,MONITOR,MMLY0SS0047520BBF38507,2070,Acer,V196HQL,
,Fingerprint Scanner,C8R1BT15240,NA,Acer,Dactyscan84C,
,Iris Scanner,BA1801A025927,2070,HP,BMT-20,
,Inkjet Printer,CN7CH5G1BP,2069,HP,Deskjet GT 5811,
,Barcode Scanner,PADMLB002491,2067,Acer,BS-C101 STAR,
,Passbook Printer,QAL6MT016394,2066,Acer,SPEED 40 PLUS,
,LASER PRINTER,,NA,Acer,LASERJET P1007,
ETM JUNCTION,CPU,UXVQNSI244J0260709,NA,Dacty,VERITON M200-B350,
,MONITOR,MMLY0SS0118500F6058525,NA,BMT,V196HQL,
,DOT MATRIX PRINTER,Q7DY083325,2069,Uniline,LX 310,
,LASER PRINTER,0AN2B8GHAB0333V,2068,HP,SAMSUNG M2830DW,
,PASSBOOK PRINTER,X7ZT008025,2068,HP,PLQ 35,
,BAR CODE SCANNER,1800801001072,2067,CANON,LS-392,
,UPS,210301854,2067,TVS,HT 1101L,
,BATTERY,,2066,Dacty,POWERSAFE PLUS,
NSH MOUNT,CPU,UD305SI00U40804A170700,2066,Epson,M200-P500,
,MONITOR,UR14701017408F88B39F00,2065,Dlink,EV226HQL,
,CPU,UXVJSSID33F1158126,2064,Uniline,VERITON - IC5989K,
,MONITOR,RAA06GS03155,NA,Exide,ZEB-V19HD,
,CPU,INA604XH63,2065,TVS,HP 406 GT MT BUSINESS PC,
,MONITOR,6CM5521QYR,2064,TVS,V192,
,DOT MATRIX PRINTER,Q7DY061952,2063,TVS,LX-310,
,LASER PRINTER,E73793K2N167054,2061,Acer,HL-L2321D,
,PASSBOOK PRINTER,QAL6MT016292,NA,Acer,SPEED 40 PLUS,
,Barcode Scanner,NBKMLB001978,NA,Acer,BS-C101 Star,
,Barcode Scanner,OADMLB000736,NA,Dacty,BS-C101 Star,
,MONITOR,AOCKHF2E4051832,2064,BMT,TFT19W80PS1,
,CPU,UXB1JSIO91I0436535,2063,Uniline,M200-H110,
,MONITOR,MMLY0SS0047520B87E8507,2063,HP,V196HQL,
,MONITOR 2,MMLY0SS0047520BBE68507,2062,HP,V196HQL,
,Fingerprint Scanner,C8R1BT15211,2061,Acer,Dactyscan84C,
,Iris Scanner,BA1801A026139,2061,Acer,BMT-20,
,Inkjet Printer,CN79A5G0NR06B8,2060,Samsung,Deskjet GT 5811,
,CAMERA,,2060,Acer,,
,UPS,9202041,2059,HP,KE -440/26032,
,BATTERY,,NA,Epson,AMARON QUANTA,
PRIYADARSINI HILLS,CPU,UXB1JSII11I0905797,2060,Epson,IC6550,
,MONITOR,6CM7060B2R,2059,HP,20KD,
,CPU,UXVQNSI244J0260700,2058,Acer,VERITON M200-B350,
,MONITOR,MMT3FSS0017500072A3B00,2057,Acer,E1900HQ,
,CPU,CNV7040CQ7,NA,Epson,NA,
,MONITOR,  MMLY0SS0047520BE348507,NA,Epson,V196HQL,
,DOT MATRIX PRINTER,Q7DY107451,NA,Smartline,LX-310,
,LASER PRINTER,CNCHB65793,2059,Uniline,LASERJET 1020 PLUS,
,PASSBOOK PRINTER,QAL6MT016964,2058,Acer,tvs speed 40 plus,
,Barcode Scanner,TBAMLB000554,2057,Acer,BS-C101 Star,
,Barcode Scanner,OBZMLB001074,2057,HP,BS-C101 Star,
,Barcode Scanner,UBUMLB001300,2056,HP,BS-C101 Star,
,Barcode Scanner,RAOMLB002784,2056,Acer,BS-C101 Star,
,MONITOR,MMLY0SS0047520BBE88507,2055,Acer,V196HQL,
,CPU,UXB1JSIO91I0328830,2054,Acer,M200-H110,
,Fingerprint Scanner,C8R1BT15235,2054,Dacty,Dactyscan84C,
,Iris Scanner,BA1801A026138,NA,BMT,BMT-20,
,Inkjet Printer,CN7CH5G120,2055,Uniline,Deskjet GT 5811,
,CAMERA,,2054,HP,,
,UPS,900032211191794,2053,HP,HFD-300,
,BATTERY,,2052,CANON,POWERSAFE PLUS,
,SCARP BATTERY,,NA,TVS,POWERSAFE PLUS,
,SCARP BATTERY,,NA,Dacty,POWERSAFE PLUS,
,SCARP BATTERY,,NA,Epson,ES 85,
,SCARP BATTERY,,2053,Dlink,ESL42,
KUDAMALOOR,CPU,VXVQNSI244J0260735,2053,Uniline,VERITON M200-B350,
,MONITOR,MMLY0SS0118500F61B8525,2052,Exide,V196HQL,
,DOT MATRIX PRINTER,JNWY361433,2052,TVS,LX 300+II,
,LASER PRINTER,NAQA815571,2051,TVS,LBP2900B,
,PASSBOOK PRINTER,X7ZT036410,2050,TVS,PLQ 35,
,BAR CODE SCANNER,RBQMLB004567,2050,Acer,BS-C101 Star,
,UPS,8202007,2049,Acer,KE440-1120,
,BATTERY,,2049,Acer,POWERSAFE PLUS,
THELLAKOM,CPU,UXVQNSI244J0260681,NA,Dacty,M200-B350,
,MONITOR,MMLY0SS0118500F6158525,2051,BMT,V196HQL,
,DOT MATRIX PRINTER,Q7DY143376,2049,Uniline,LX 310,
,LASER PRINTER,X5JC011092,2048,HP,M1120,
,PASSBOOK PRINTER,X7ZT008033,2047,HP,PLQ 35,
,BAR CODE SCANNER,RBQMLB004577,NA,Acer,BS-C101 Star,
,UPS,2068F35,NA,Acer,,
,BATTERY,,NA,Samsung,AGM VRLA,
PEROOR,CPU,1N130302WB,2048,Acer,HP,
,MONITOR,CNK2270LLC,2047,HP,V22V G5,
,DOT MATRIX PRINTER,VBQ7JA001094,2047,Epson,MSP 270 CLASSIC PLUS,
,LASER PRINTER,VNF4W06229,2046,Epson,LASERJET P1007,
,PASSBOOK PRINTER,X7ZT008092,2046,HP,PLQ 35,
,BAR CODE SCANNER,VBYMLB003566,2045,Acer,BS-C101 Star,
,MONITOR,CNC046RZQ4,2045,Acer,LE1851W,
,UPS,211004479,2044,Epson,GREEN1000 ,
,BATTERY,,2043,Epson,,
KUMARANALLOOR,CPU,UXB1JSII11I1007838,NA,Smartline,IC6550,
,MONITOR,MMLY0SS0047520BE208507,2046,Uniline,V196HQL,
,CPU,UXVTUSI333M2089017,2045,Acer,VERITON M200-P500,
,MONITOR,MMLY0SS0047520B8918507,2043,Acer,V196HQL,
,DOT MATRIX PRINTER,Q7DY101119,2042,HP,LX-310,
,LASER PRINTER,E73793A3N252268,NA,HP,HL-L2321D,
,PASSBOOK PRINTER,QAL6MT016912,NA,Acer,tvs speed 40 plus,
,Barcode Scanner,PADMLB002515,NA,Acer,BS-C101 Star,
,Barcode Scanner,OADMLB000732,2043,Acer,BS-C101 Star,
,MONITOR,MMLY7SS02822406ADA859M,2042,Dacty,V226HQL,
,CPU,UXB1JSIO91I0328898,2042,BMT,M200-H110,
,Fingerprint Scanner,C8R1BT15224,2041,Uniline,Dactyscan84C,
,Iris Scanner,BA1801A026137,2040,HP,BMT-20,
,Inkjet Printer,CN79A5G0NV,2040,HP,Deskjet GT 5811,
,CAMERA,,2039,CANON,,
,UPS,18012260360416,2039,TVS,600 VA,
,UPS,,2038,Dacty,,
,BATTERY,,NA,Epson,OPTIMUZ,
,SCARP BATTERY,,2041,Dlink,6EL 80+,
,LASER PRINTER,0AN2BBGHAA027RE,2040,Uniline,XPRESS M2830DW,
,CPU,NA,2039,Exide,,
MALLOOSSERY,CPU,21H12L2023B50679,2037,TVS,HLBS CM44,
,MONITOR,9I003234201545,NA,TVS,H-22P1IPS,
,DOT MATRIX PRINTER,JNWY361565,NA,TVS,LX-300+II,
,LASER PRINTER,0AN2B8GHAA00S3V,NA,Acer,XPRESS M2830DW,
,PASSBOOK PRINTER,NA,2038,Acer,PR2 PLUS,
,BAR CODE SCANNER,QAUMLB000052,2037,Acer,BS-C101 Star,
,UPS,,2036,Dacty,,
,BATTERY,,2036,BMT,EL 75,
KIDANGOOR,CPU,UXVQNSI244J0260685,2035,Uniline,M200-B350,
,MONITOR,MMLY0SS0118500F5EC8525,2035,HP,V196HQL,
,CPU,INA604XH6G,2034,HP,HP 406 G1 MT Bussiness PC,
,MONITOR,MMLTJSS0035170F92A8501,2033,Acer,P166HQL,
,DOT MATRIX PRINTER,Q7DY060257,2033,Acer,LX-310,
,LASER PRINTER,CNCGY28897,NA,Samsung,HP LASERJET  1020 PLUS,
,PASSBOOK PRINTER,X7ZT036326,2036,Acer,PLQ 35,
,Barcode Scanner,RAOMLB003897,2035,HP,BS-C101 Star,
,Barcode Scanner,NBKMLB000593,2034,Epson,BS-C101 Star,
,CPU,UXB1JSIO91I0328868,2033,Epson,M200-H110,
,MONITOR,MMLY0SS0047520BEE28507,NA,HP,V196HQL,
,Fingerprint Scanner,C8R1BT15181,NA,Acer,Dactyscan84C,
,Iris Scanner,BA1801A025922,NA,Acer,BMT-20,
,Inkjet Printer,CN7CH5G14006B8,2032,Epson,Deskjet GT 5811,
,CAMERA,,2032,Epson,,
,UPS,,2031,Smartline,,
,BATTERY,,2031,Uniline,EL+ 6EL,
KIDANGOOR SOUTH,CPU,UD305SI00U40804A2F0700,2030,Acer,M200-P500,
,MONITOR,UR14701017408F845B9F00,2029,Acer,EV226HQL,
,DOT MATRIX PRINTER,JNWY366581,2029,HP,LX 300+II,
,LASER PRINTER,0AN2B8GHAA026JD,2028,Acer,XPRESS M2830DW,
,PASSBOOK PRINTER,X7ZT007636,2028,Acer,PLQ 35,
,BAR CODE SCANNER,VBYMLB003512,NA,Samsung,BS-C101 Star,
,UPS,10050322,2031,Acer,AEM 1000,
,BATTERY,,2030,HP,POWERSAFE PLUS,
AYARKUNNAM,CPU,UXVJSSID93F0720139,2029,Epson,IC6999K,
,MONITOR,CN-02C8FJ,2028,Epson,D1918Ho,
,CPU,UD305SI00U408049BC0700,NA,HP,M200-P500,
,MONITOR,UR14701017407F7B069F00,NA,Acer,EV226HQL,
,DOT MATRIX PRINTER,JNWY229348,NA,Acer,LX 300+II,
,LASER PRINTER,VNF8P13345,2027,Epson,P1007,
,PASSBOOK PRINTER,QAL6MT016225,2026,Epson,SPEED 40 PLUS,
,Barcode Scanner,MAOMLB000430,2026,Smartline,BS-C101 Star,
,Barcode Scanner,UAHMLB002257,2025,Uniline,BS-C101 Star,
,CPU,UXB1JSIO91I0436543,2025,Acer,M200-H110,
,MONITOR,MMLY0SS0047520BACE8507,2024,Acer,V196HQL,
,Fingerprint Scanner,C8R1CT00738,2024,HP,Dactyscan84C,
,Iris Scanner,BA1801A025925,2023,Acer,BMT-20,
,Inkjet Printer,CN77L5G09R06B8,2022,Acer,Deskjet GT 5811,
,UPS,0905997,NA,Samsung,420/2.5EXT,
,BATTERY,,2027,Acer,EL65ERTL,
,MONITOR,CNC028PB1R,2025,HP,LE1711,
,CPU,INA92802HM,2024,Epson,HP COMPAQ DX2480,
,Dotmatrix Printer,G7XY027143,2023,Epson,LX 1170 II,
Anthinad SO,Laser printer,VNF6W04945,NA,HP,HP LASERJET P1106,
,Monitor,6CM5521QS3,NA,Acer,HPv192,
,CPU,INA604XH9Y,NA,Acer,HP 406 G1 MT BUSINESS PC,
,CPU,UXVTUSI333M2088967,2022,Epson,Acer VERITON M200 P500,
,CPU,UXVQNSI925L0494391,2019,Epson,Acer Veriton M200 B350,
,Passbook printer,X7ZT047984,2023,Smartline,Epson PLQ35,
,Monitor,MMLY7SS02822406D2F859M,2022,Uniline,Acer V226 HQL,
,Monitor,MMLXKSS0090500FD784248,2019,Acer,Acer V206HQL,
,CPU-Aadhar,UXB1JSIO91I0436522,2017,Acer,Acer Veriton M200 H110,
,Monitor,MMTAMSS002750031473E00,2017,HP,Acer V196HQL,
,Inkjet printer - Aadhar,CN7CH5G16Q,2017,Acer,HP DESKJET 5811,
,Dot matrix printer,Q7DY116408,2019,Acer,"Epson LX 310,",
Arunapuram SO,CPU,INA604XH60,NA,Samsung,HP 406 G1 MT Business PC,
,Monitor,MMLYSS02822406ADD859M,2023,Acer,Acer V226HQL,
,Monitor,MMLY0SS0118500F5BB8525,2017,HP,Acer V196HQL,
,CPU,UXVTUSI333M2089155,2023,Epson,Acer Veriton M200 P500,
,Laser printer,0AN2B8GHAA0267H,2017,Epson,Samsung Xpress M2830DW,
,CPU-Aadhar,UXB1JSIO91I0329028,2017,HP,Acer Veriton M200 H110,
,Monitor - Aadhar,MMTAMSS002750030FD3E00,2017,Acer,Acer V196HQL,
,Inkjet printer - Aadhar,CN7CH5G17J06B8,2017,Acer,HP DESKJET 5811,
,Laser printer,E73793E3N332719,2023,Epson,BROTHER HL L2321D,
,CPU,UD305SI00U40804A360700,2204,Epson,Acer Veriton M200 P50,
,Monitor,UR14701017408F83EB9F00,2024,Smartline,Acer EV226HQL,
,Passbook printer,X7ZT049149,2023,Uniline,Epson PLQ35,
,Dot matrix printer,UBH5ED010142,2023,Acer,TVS MSP 270 STAR,
,Barcode reader,OADMLB000743,NA,Acer,TVS BS C101 STAR,
,Barcode reader,WBNMLB000956,NA,HP,TVS BS C101 STAR,
,Barcode reader,PADMLB002510,NA,Acer,TVS BS C101 STAR,
Aruvithura SO,CPU,UXB1JSII110436226,2018,Acer,Acer Veriton IC6550,
,Monitor,MMTAMSS002740032CA3E00,2018,Samsung,Acer V196HQL,
,CPU,INA92802LT,2015,Acer,HP COMPAQDX2480 BUSINESS PC,
,Monitor,MMT3FSS001750006143B00,2019,HP,Acer E1900HQ,
,Passbook printer,X7ZT008030,2022,Epson,Epson PLQ35,
,Laser printer,VNFN113195,,Epson,HP LASER JET P1007,
,CPU-Aadhar,UXB1JSIO91I0436467,2018,HP,Acer Veriton M200 -H110,
,Monitor - Aadhar,MMTAMSS002750026C63E00,2018,Acer,Acer V196Hql,
,Inkjet printer - Aadhar,CN77L5G0TM06B8,2018,Acer,HP DESKJET,
,Dot matrix printer,Q7DY109589,,Epson,Epson LX 310,
,Barcode reader,R-41007862,,Epson,BS C101 STAR,
,Barcode reader,R-41007862,,Smartline,BS C101 STAR,
Bharananganam SO,Monitor,Q7DY109783,,Uniline,AOC T9M4CS2CALACNIM,
,CPU,UXB1JSII11I1007820,,Acer,Acer Veriton IC6550,
,Barcode reader,TBZMLB002117,,Acer,TVS BS C101 STAR,
,Barcode reader,TBZMLB002117,,HP,TVSBSC101 STAR,
,Dot matrix printer,Q7DY109783,,Acer,Epson LX 310,
,CPU,INA92804SV,,Acer,HP Compaq dx2480,
,CPU,MMLTYSS00145200D8A4201,,Samsung,Acer P166HQL,
,Barcode reader,OADMLB000730,,Acer,TVS BS C101 STAR,
,Passbook printer,QAL6MT016307,,HP,TVS Speed 40 plus,
,Inkjet printer,X5HR020723,,Epson,Epson M1100,
,CPU-Aadhar,UXB1JSIO91I0436482,,Epson,Acer Veriton M200-H110,
,Monitor - Aadhar,MMTAMSS002750026B43E00,,HP,Acer V196HQL,
,Inkjet printer - Aadhar,CN79A5G08R06B8,,Acer,HPDESKJET GT5811,
Cherpunkal SO,Monitor,UR14701017408F88799F00,2024,Acer,Acer EV226HQL,
,CPU,UD305SI00U40804A3E0700,2024,Epson,Acer Veriton M200 P500,
,Passbook printer,X7ZT007623,2022,Epson,Epson PLQ35,
,Laser printer,VNF6W05086,NA,Smartline,HP laserjet P1106,
,Barcode reader,UAAMLB000257,2020,Uniline,TVS BS C101 STAR,
,Dot matrix printer, JNWY363255,2018,Acer,Epson LX 300 II,
Erattupetta SO,CPU,UXVQNSI959L3876879,,Acer,Acer Veriton m200 B560,
,Passbook printer,X7ZT036323,,HP,Epson plq35,
,Laser printer,VNF5140062,,Acer,HP laserjet p1007,
,Dot matrix printer,Q7DY116548,,Acer,Epson LX310,
,Monitor,9I003234202135,,Samsung,H-22P1IPS,
,CPU-Aadhar,UXB1JSIO91I0436475,,Acer,Acer Veriton M200 H110,
,Monitor - Aadhar,MMLY0SS0118500CB6C8525,,HP,AcerV196HQL,
,CPU,21H12L2023B50683,2024,Epson,HLBSCM44,
,Barcode reader,QADMLB000722,,Epson,TVS BS C101Star,
,Barcode reader,UBUMLB001299,,HP,BSC101 Star,
,Monitor,MMLXKSS0091161936A4260,,Acer,Acer V206HQL,
,Inkjet printer - Aadhar,CN78J5G0V506B8,,Acer,HPDESKJET GT 5811,
,Monitor - Aadhar,MMTAMSS002750026C63E00,,Epson,Acer V196HQL,
Kadanad Meenachil SO,Monitor,CNC106P951,,Epson,HP LE1851W,
,Passbook printer,X7ZT036328,2023,Smartline,Epson plq35,
,Dot matrix printer,Q7DY109825,,Uniline,Epson LX 310,
,CPU,UXVQNSI244J0260701,,Acer,Acer Veriton M200 B350,
,Barcode reader,R-41007862,,Acer,BS-C101 STAR,
,Laser printer,AOA813331,,HP,Canon L1121E,
Kadaplamattom SO,Inkjet printer,X5JC028802,2023,Acer,EPSON M1120,
,Passbook printer,X7ZT008082,2022,Acer,Epson PLQ35,
,Dot matrix printer,JNWY365455,NA,Samsung,Epson LX 300 II,
,CPU,UXVQNSI925L0494361,2019,Acer,Acer Veriton M200- B350,
,Barcode reader,UAHMLB002265,NA,HP,TVS BS C101 STAR,
,Monitor,MMLXKSS0090500FAD24248,2019,Epson,Acer V206HQL,
Melukavumattom SO,CPU,UXB1JSII11I0905701,,Epson,Acer,
,Dot matrix printer,Q7EY247457,,HP,Epson LX310,
,Monitor,CNC920P0CH,,Acer,HP L1710,
,CPU,UXVQNSI959L3876881,,Acer,Acer Veriton M200- B560,
,Laser printer,CNCHC92824,,Epson,HP LASERJET 1020 PLUS,
,Monitor,MMLXKSS009116190144260,,Epson,Acer V206HQL,
,Passbook printer,X7ZT036424,2022,Smartline,Epson PLQ 35,
,CPU-Aadhar,UXB1JSIO91I0436504,,Uniline,Acer Veriton M200-H110,
,Monitor - Aadhar,MMLY0SS004842030478507,,Acer,Acer V196HQL,
,Barcode reader,PADMLB002507,,Acer,TVS BS-C101 STAR,
,Barcode reader,NBKMLB000585,,HP,TVS BS-C101 STAR,
Moonnilavu SO,Monitor,MMLXKSS009I161934F4260,,Acer,Acer V206HQL,
,Passbook printer,X23T052114,,Acer,Epson PlQ35,
,CPU,UXVQNSI959L3876847,,Samsung,Acer Veriton M200 B560,
,Dot matrix printer,Q7DY109588,,Acer,Epson LX310,
,Barcode reader,UAHMLB002258,,HP,TVS BS C101 STAR,
,Laser printer,NBKA144139,,Epson,Canon LBP6030B,
,Dot matrix printer,Q7DY109588,2020,Epson,Epson LX 310,
,Passbook printer,X23T052114,2021,HP,Epson PLQ 30,
,CPU,UXVQNSI959L3876847,2021,Acer,Acer Veriton M200 - B560,
,Monitor,11610324742,2020,Acer,Acer V206HQL,
,Laser printer,NBKA144139,2020,Epson,Canon F166400,
,Barcode reader,R-41007862,,Epson,TVS BS C101 STAR,
Pala HO,CPU,UXB1JSIO91I0329009,2018,Smartline,Acer Veriton M200- H110,
,Monitor,MMTAMSS002750031073E00,2018,Uniline,Acer V196HQL,
,Laser printer,VNF3S00041,2020,Acer,HP LASERJET M208dw,
,Monitor,MMLY0SS01190808B248525,2018,Acer,Acer V196HQL,
,CPU,CNV7040D03,2018,HP,HP SLIMLINE 270-p030in,
,Barcode reader,OADMLB000725,2016,Acer,TVS BS-C101 STAR,
,Monitor,9I003234201618,2024,Acer,HLBS H22P1IPS,
,CPU,21H12L2023B 50686,2024,Samsung,HLBS CM44,
,CPU,21H12L2023B50686,2024,Acer,HLBS CM44,
,Monitor,9I003234201618,2024,HP,HLBS H22P1IPS,
,CPU,1N132305KT,2023,Epson,HP 285 pro microtower pc,
,Monitor,CNK3251P7J,2023,Epson,HP P22V G5 ,
,Inkjet printer,X5JC011084,2020,HP,Epson M1120,
,CPU,INA91806KY,NA,Acer,HP COMPAQ dx 2480 business pc,
,Monitor,CNK24700G4,2024,Acer,HP V22v G5 FHD Monitor,
,CPU,UD305SI00U40804A1D0700,2014,Epson,Acer Veriton M200 P 500,
,Monitor,MMLTJSS0035030FFA08501,NA,Epson,P116HQL,
,Inkjet printer - Aadhar,CN77L5G0F406B8,2017,Smartline,HP DESKJET 5811,
,CPU,INA92804JG,Na,Uniline,HP Compaq dx2480 BUSINESS PC,
,Monitor,MMLXKSI002313108F64263,NA,Acer,Acer V206HQL,
,Monitor,MMT0CSS012843006D7850B,NA,Acer,Acer K202 HQL,
,Laser printer,NAQA815573,2016,HP,Canon LBP2900B,
,CPU,INA604XGR1,2017,Acer,HP 406 G1MT Business PC,
,CPU,UXVPNSI645I4809522,2018,Acer,Acer VERITONIC6934K,
,Monitor,MMLXKSI0023340FCCD4263,2017,Samsung,Acer V206HQL,
,Monitor,UR14701017408F87FB9F00,2024,Acer,Acer EV226HQL,
,Monitor,6CM4092140,NA,HP,HP V192,
,CPU,UXVD9SI140D4405467,NA,Epson,Acer VERITON M200H61,
,Passbook printer,X7ZT036312,2023,Epson,Epson PLQ35,
,Passbook printer,X7ZT052333,2022,HP,Epson PLQ35,
,CPU,UD305SI00U408049BE0700,2024,Acer,Acer Veriton M200 - p500,
,Monitor,UR14701017408F882E9F00,2024,Acer,EV226HQL,
,CPU,INA112XDZX,NA,Epson,HP pro 3090 MT,
,Monitor,MMLY0SS0118500F60C8525,NA,Epson,Acer V196HQL,
,Monitor,MMLY0SS0118500F6198525,NA,Smartline,Acer v196hql,
,CPU,UXVQNSI244J0260715,Na,Uniline,Acer VERITON M200 B350,
,Laser printer,CNCHC92453,NA,Acer,HP LASERJET 1020 PLUS,
,CPU,UXVQNSI244J0260689,NA,Acer,Acer VERITON M200 B350,
,Laser printer,VNM1C0559436201610,2023,HP,HP laserjet M208DW,
,CPU,21H12L2023B50681,2024,Acer,HLBS CM44,
,Monitor,9I003234202092,2024,Acer,HLBS H22P1IPS,
,Laser printer,E73793F3N359588,2024,Samsung,Brother HL L2321D,
,CPU,UXVD9SI140D4405834,NA,Acer,Acer P21 A1I,
,Monitor,MMLXNSS004443013594207,NA,HP,Acer V196HQL,
,Inkjet printer,X5E603719,NA,Epson,Epson L3150,
,Monitor,MMT3FSS001750007163B00,2017,Epson,Acer e1900HQ,
,CPU,UXB1JSII11I1007776,NA,HP,Acer VERITON IC6550,
,CPU,UXVQNSI244J0260743,NA,Acer,Acer VERITON M200 B350,
,Monitor,MMLY0SS01190808FEE8525,NA,Acer,Acer V196HQL,
,Laser printer,CNCHD21592,NA,Epson,HP laserjet 1020 plus,
,CPU,UXVQNSI244J0260676,NA,Epson,Acer Veriton M200 B350,
,Barcode reader,OADMLB000725,Na,Smartline,TVS BS C101 STAR,
,Barcode reader,RBQMLB004575,NA,Uniline,TVS BS C101 STAR,
,Laser printer,VNF6802979,NA,Acer,HP LASERJET P1108,
,Dot matrix printer,Q7DYJ00649,2022,Acer,Epson LX 310,
,Barcode reader,TBZMLB001544,2023,HP,TVS BS C101 STAR,
,Barcode reader,RBHNBT004522,NA,Acer,TVS BS L100N,
,Barcode reader,VBDNST008026,NA,Acer,BS 201s BT,
,Barcode reader,TBZMLB001555,NA,Samsung,TVS BS C101 STAR,
,Barcode reader,RBQMLB004588,NA,Acer,TVS BS C101 STAR,
,Laser printer,NNSA110559,2024 from Kottayam HO,HP,Canon imageclasss LBP623Cdw,
,Barcode reader,UBUMLB001298,2024,Epson,TVS BS C101 STAR,
Pala Market Junction SO,Laser printer,E73793A4N483186,2024,Epson,Brother HL L2321D,
,Monitor,9I003234202057,2024,HP,HLBS H22P1PS,
,CPU,21H12L2023BB50695,2024,Acer,HLBS CM44,
,Dot matrix printer,Q7DY112084,2023,Acer,Epson LX 310,
,Passbook printer,X7ZT036413,2023,Epson,Epson PLQ35,
,Barcode reader,NAPMLB003451,Na,Epson,TVS BS C101 STAR,
Pala Town SO,CPU,UXVTUSI333M2089185,2023,Smartline,Acer Veriton M200-P500,
,Monitor,MMLY7SS028224067BA859M,2023,Uniline,Acer V226HQL,
,Dot matrix printer,VBO4BD185727,2023,Acer,TVS MSP 250 STAR,
,CPU,UXB1JSII11I1007773,2019,Acer,Acer Veriton IC6550,
,Monitor,RBW01IS09601,2022,HP,Zebster z e 19HD,
,Passbook printer,QAL6MT016308,NA,Acer,TVS SPEED 40 PLUS,
,Laser printer,0AN2B8GHAA023WZ,NA,Acer,Samsung Xpress M2830DW,
,Barcode reader,PADMLB002512,NA,Samsung,TVS BS C101 STAR,
,Barcode reader,NBGMLB001462,NA,Acer,BS C101 STAR,
,CPU,UXB1JSIO91I0329033,2017,HP,Acer Veriton M200 H110,
,Monitor - Aadhar,MMTAMSS002750026A23E00,NA,Epson,V196HQL,
Plassanal SO,CPU,UXVQNSI959L3876853,2019,Epson,Acer Veriton M200-B560,
,Passbook printer,QAL6MT016315,,HP,TVS SPEED 40 PLUS,
,Laser printer,VNF6W04948,,Acer,HP LASERJET P1106,
,Dot matrix printer,Q7DY112098,,Acer,Epson LX 310,
,Monitor,MMLXKSS00911618F214260,,Epson,Acer V206HQL,
,Barcode reader,NBKMLB002681,,Epson,TVS BS C101,
Poonjar SO,CPU,UXB1JSII11I0905686,,Smartline,Acer VERITON IC6550,
,Monitor,MMT3FSS0017500151A3B00,,Uniline,Acer E1900HQ,
,Monitor,CNK24700F1,2023,Acer,HP V22v G5 FHD Monitor,
,CPU,1N130302Y5,2023,Acer,HP 285 PRO G8 microtower PC,
,CPU,UXB1JSIO91I0328913,,HP,Acer Veriton M200- H110,
,Monitor - Aadhar,MMTAMSS002750026BA3E00,,Acer,Acer V196HQL,
,Monitor - Aadhar,MMTAMSS002750026CF3E00,,Acer,Acer V196HQL,
,Dot matrix printer,Q7DY116478,2020,Samsung,Epson LX 310,
,Passbook printer,X7ZT008035,2021,Acer,Epson PLQ35,
,Laser printer,NAQA815561,,HP,Canon LBP 2900B,
,Inkjet printer - Aadhar,CN79A5G13R06B8,,Epson,HP DESKJET gt 5811,
,Barcode reader,NBKMLB000582,,Epson,BS C101 STAR,
,Barcode reader,NAPMLB003446,NAPMLB003446,HP,BS C101 STAR,
Poonjar Thekkekara SO,CPU-Aadhar,UXB1JSIO91I0436547,2017,Acer,Acer Veriton M200 H110,
,Monitor - Aadhar,MMTAMSS002750032E23E00,2017,Acer,Acer V196HQL,
,CPU,UXVQNSI244J0260684,2018,Epson,Acer Veriton M200B350,
,Monitor,MMTAMSS002750032C73E00,2018,Epson,Acer V196HQL,
,CPU,INA91805KV,NA,Smartline,HP COMPAQ dx 2480 business pc,
,Monitor,MMLY0SS0118500F61C8525,2018,Uniline,Acer V196HQL,
,Dot matrix printer,JNXY066481,NA,Acer,Epson LX 310,
,Laser printer,NAQA815568,2017,Acer,Canon LBP2009B,
,Passbook printer,QAL6MT016229,NA,HP,TVS SPEED40 PLUS,
,Barcode reader,NBKMLB000581,NA,Acer,TVS BS C101 STAR,
,Barcode reader,QBEMLB004095,NA,Acer,TVS BS C101 STAR,
,Inkjet printer - Aadhar,CN7CH5G1BV06B8,2017,Samsung,HP DESKJET 5811 ,
Poovarani SO,CPU,EV8133G45006058,2016,Acer,Acer Veriton,
