Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,MONITOR,9I003234202131,2024,HLBS,HLBS,
,CPU,21H12L2023B50693,2024,HLBS,HLBS,
,DOT MATRIX PRINTER,Q7DY116775,2020,Epson,EPSON LX310,
,MONITOR,85006299285,2018,Acer,ACER V196HQL,
,CPU,UXVQNSI244J0260698,2018,Acer,ACER VERITON,
,LASER PRINTER,VNF6W04926,2015,HP,HP LASERJET P1106,
,MONITOR,44203158942,2014,Acer,ACER P166HQL,
,CPU,INA113XHHN,2012,HP,HP Pro 3090MT,
RUBBER BOARD,CPU,UXVQNSI244J0260679,2018,Acer,ACER-VERITON,
,MONITOR,85006299985,2018,Acer,ACER-V196HQL,
,DOT MATRIX PRINTER,KNWY361408,2016,Epson,EPSON LX 300+II,
,LASER PRINTER,VNFN112584,2010,HP,HP LASERJET,
,PASSBOOK PRINTER,XTZT007998,2020,Epson,EPSON PLQ35,
,UPS,240309381,2023,Hykon,HYKON 1KVA,
KTM NORTH,CPU,UXVQNSI244J0260717,2019,Acer,ACER VERITON,
,MONITOR,85006296985,2019,Acer,ACER V196HQL,
,LASER PRINTER,0AN2B8GHAB0384W,2017,Samsung,SAMSUNG EXPRESS,
,DOT MATRIX PRINTER,JNWY361546,2014,Epson,EPSON LX300+II,
,UPS,,2021,Fortune,FORTUNE,
,PASSBOOK PRINTER,X7ZT008088,2021,Epson,EPSON PLQ35,
KILIROOR NORTH,CPU,INA811V836,2018,HP,HP 280 G3MT,
,MONITOR,6CM714142L,2018,HP,HP V203P,
,LASER PRINTER,NAQA592490,2020,Canon,CANON LBP2900B,
,DOT MATRIX PRINTER,Q7DY116822,2020,Epson,EPSON LX-310,
,UPS,1KV,2012,Hykon,HYKON,
,PASSBOOK PRINTER,QAL6MT016909,2017,TVS,TVS SPEED 40,
THAZHATHANGADY,CPU,UXVQNSI285J1282800,2018,Acer,ACER VERITON,
,MONITOR,90803805985,2018,Acer,ACER V196HQL,
,LASER PRINTER,0AN2B8GHAA02B6B,2016,Samsung,SAMSUNG EXPRESS,
,DOT MATRIX PRINTER,Q7DY109653,2018,Epson,EPSON  LX-310,
,UPS,,,Hykon,HYKON,
,PASSBOOK PRINTER,X7ZT008093,2020,Epson,EPSON PLQ-35,
CHENGALAM SOUTH,CPU,UXVQNSI925L0494368,2021,Acer,ACER VERITON,
,MONITOR,MMLXKSS0090500FE804248,2021,Acer,ACER V206HQL,
